week,day,year,month,day_month,day_week,activated_time,appliance
38,263,0,8,19,1,47,2
38,263,0,8,19,1,76,10
38,263,0,8,19,1,81,10
38,263,0,8,19,1,96,10
38,263,0,8,19,1,98,4
38,263,0,8,19,1,101,4
38,263,0,8,19,1,121,10
38,264,0,8,20,2,39,10
38,264,0,8,20,2,44,10
38,264,0,8,20,2,51,5
38,264,0,8,20,2,61,10
38,264,0,8,20,2,71,10
38,264,0,8,20,2,81,10
38,264,0,8,20,2,96,10
38,264,0,8,20,2,104,10
38,265,0,8,21,3,37,10
38,265,0,8,21,3,48,10
38,265,0,8,21,3,60,5
38,265,0,8,21,3,60,10
38,265,0,8,21,3,63,8
38,265,0,8,21,3,68,10
38,265,0,8,21,3,69,10
38,265,0,8,21,3,74,10
38,265,0,8,21,3,76,10
38,265,0,8,21,3,87,10
38,265,0,8,21,3,106,10
38,266,0,8,22,4,38,10
38,266,0,8,22,4,47,10
38,266,0,8,22,4,48,2
38,266,0,8,22,4,49,5
38,266,0,8,22,4,63,10
38,266,0,8,22,4,79,10
38,266,0,8,22,4,96,4
38,266,0,8,22,4,97,4
38,266,0,8,22,4,98,4
38,266,0,8,22,4,99,4
38,266,0,8,22,4,101,2
38,266,0,8,22,4,118,10
38,267,0,8,23,5,37,10
38,267,0,8,23,5,49,5
38,267,0,8,23,5,50,5
38,267,0,8,23,5,51,10
38,267,0,8,23,5,52,2
38,267,0,8,23,5,72,6
38,267,0,8,23,5,72,10
38,267,0,8,23,5,86,5
38,267,0,8,23,5,87,10
38,267,0,8,23,5,94,10
38,267,0,8,23,5,98,10
38,267,0,8,23,5,103,6
38,268,0,8,24,6,40,10
38,268,0,8,24,6,48,10
38,268,0,8,24,6,64,10
38,268,0,8,24,6,76,10
38,268,0,8,24,6,99,10
38,268,0,8,24,6,106,10
39,269,0,8,25,0,37,10
39,269,0,8,25,0,44,10
39,269,0,8,25,0,55,2
39,269,0,8,25,0,55,10
39,272,0,8,28,3,91,10
39,272,0,8,28,3,93,5
39,272,0,8,28,3,96,8
39,272,0,8,28,3,99,6
39,272,0,8,28,3,99,10
39,273,0,8,29,4,38,10
39,273,0,8,29,4,51,6
39,273,0,8,29,4,59,2
39,273,0,8,29,4,59,5
39,273,0,8,29,4,60,10
39,273,0,8,29,4,77,10
39,273,0,8,29,4,103,10
